iter	Logloss
0	0.6378540208
1	0.5932790247
2	0.5570501193
3	0.5254430744
4	0.498757233
5	0.4758477306
6	0.4565889533
7	0.4400576473
8	0.4253582768
9	0.4126845066
10	0.4016830588
11	0.3919493135
12	0.3835346493
13	0.3763933592
14	0.3697973364
15	0.3641819932
16	0.3597492258
17	0.3551517689
18	0.3519128322
19	0.34826133
20	0.3450430014
21	0.342256017
22	0.340097579
23	0.3379900771
24	0.3362095197
25	0.3348464244
26	0.333454632
27	0.3321541704
28	0.330856887
29	0.3300210229
30	0.329298567
31	0.3283719572
32	0.3276952051
33	0.3271623518
34	0.3265049416
35	0.326072124
36	0.3255290783
37	0.3251173099
38	0.3247447055
39	0.3243960287
40	0.3241434593
41	0.3238016314
42	0.3235174907
43	0.3233407807
44	0.3231021026
45	0.3229276642
46	0.3226725248
47	0.3224730809
48	0.3223255629
49	0.3221681044
50	0.3220200819
51	0.3218881017
52	0.3217001143
53	0.3216026962
54	0.3214932399
55	0.3214011728
56	0.3212526201
57	0.3211277615
58	0.3210389365
59	0.3208584342
60	0.3207329706
61	0.3206418128
62	0.3205145792
63	0.3203707203
64	0.3202948343
65	0.3202313861
66	0.3201388934
67	0.3200180476
68	0.3199335669
69	0.3198511837
70	0.3197852276
71	0.319728802
72	0.3196365329
73	0.3195825338
74	0.3195112847
75	0.3194552418
76	0.3194053999
77	0.3193664116
78	0.3193230148
79	0.3192377215
80	0.3191751482
81	0.3191300925
82	0.3190630596
83	0.3190026864
84	0.3189387516
85	0.3189043551
86	0.3188338433
87	0.3187995414
88	0.3187531704
89	0.3187456541
90	0.3187100434
91	0.3186731154
92	0.3186295249
93	0.3185828983
94	0.3185163418
95	0.3184870695
96	0.3184372318
97	0.3183155113
98	0.3182886709
99	0.318258272
