iter	Passed	Remaining
0	188	18681
1	203	9958
2	215	6962
3	226	5440
4	239	4543
5	251	3940
6	262	3493
7	274	3160
8	287	2903
9	299	2693
10	310	2512
11	322	2367
12	336	2250
13	349	2146
14	361	2048
15	373	1962
16	387	1889
17	400	1823
18	414	1766
19	427	1711
20	440	1657
21	455	1613
22	468	1569
23	482	1529
24	495	1487
25	508	1446
26	522	1412
27	535	1378
28	549	1345
29	563	1314
30	577	1284
31	590	1255
32	604	1227
33	619	1201
34	634	1178
35	651	1157
36	665	1133
37	679	1109
38	693	1085
39	708	1062
40	723	1041
41	740	1022
42	754	1000
43	769	979
44	785	959
45	799	938
46	813	917
47	827	896
48	842	876
49	858	858
50	873	839
51	889	821
52	904	802
53	919	783
54	934	764
55	948	745
56	965	728
57	981	710
58	994	691
59	1010	673
60	1025	655
61	1039	637
62	1055	620
63	1072	603
64	1086	585
65	1100	566
66	1117	550
67	1132	532
68	1151	517
69	1170	501
70	1187	485
71	1203	468
72	1218	450
73	1232	432
74	1248	416
75	1263	398
76	1278	382
77	1294	365
78	1309	347
79	1324	331
80	1340	314
81	1355	297
82	1372	281
83	1389	264
84	1404	247
85	1419	231
86	1436	214
87	1450	197
88	1466	181
89	1475	163
90	1492	147
91	1507	131
92	1522	114
93	1537	98
94	1557	81
95	1571	65
96	1587	49
97	1603	32
98	1618	16
99	1635	0
